run_id,function,method,n,p,q,rep,seed_data,seed_model,status,error,train_time_sec,pred_time_sec,nit,njev,nfev,rmse,coverage_95,interval_len_95,dss_diag,dss_full
run_3532236594,borehole,LCGP,200,4,3,3,3472848077,3449867749,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.7270247919950634,0.1419230840401724,178,190,190,58.85422911157293,0.976,215.55387542186165,27.943677173628075,
run_3532236594,borehole,MOOGP,200,4,3,4,948475116,1221015480,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.23176275001606,0.05247104197042063,134,165,165,38.095231533405006,0.954,90.25717328478643,22.602877179921094,
run_3532236594,borehole,LCGP,200,4,3,4,948475116,2186488196,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.4607750000432134,0.1393889170140028,162,173,173,49.46061627130369,0.98,180.99723849788674,25.831227860544068,
run_3532236594,borehole,MOOGP,200,4,3,5,1222183249,3679092119,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.955625083995983,0.03526574996067211,147,175,175,57.126885412032806,0.895,123.70786787633136,27.251009018496912,
run_3532236594,borehole,LCGP,200,4,3,5,1222183249,46374782,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.9579867919674143,0.12563983298605308,210,222,222,68.33538394286408,0.978,232.12950987819605,29.137021644136485,
run_3532236594,borehole,MOOGP,400,4,3,1,2932496933,1150886209,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.90746949997265,0.0767529170261696,218,261,261,36.54537504685947,0.941,97.74796552761217,25.93265817877295,
run_3532236594,borehole,LCGP,400,4,3,1,2932496933,1107514266,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.046364457986783,0.2052404169808142,160,175,175,43.767960572873136,0.974,132.6810088648895,27.11023115349354,
run_1005027538,borehole,MOOGP,100,4,3,1,3681670825,1875810247,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.02951700001722,0.017687665997073054,265,326,326,22.090149691808186,0.916,57.450484870912064,23.04277679598569,
run_1005027538,borehole,LCGP,100,4,3,1,3681670825,2471040295,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3995912079699337,0.13247362500987947,100,108,108,37.15696083181177,0.967,159.52667861102728,28.173907809909476,
run_1005027538,borehole,MOOGP,100,4,3,2,1490663890,1825793481,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.437465000024531,0.016313124971929938,195,223,223,31.323084825945475,0.938,85.37056027716939,23.93145253608691,
run_1005027538,borehole,LCGP,100,4,3,2,1490663890,2972008939,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3376680000219494,0.1424352919566445,90,96,96,79.36433589190985,0.957,223.05602121214528,30.187761698002344,
run_1005027538,borehole,MOOGP,100,4,3,3,3748590181,306058650,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.91223474999424,0.018676749954465777,297,364,364,41.282342685293116,0.93,95.21630492001792,23.53370106326589,
run_1005027538,borehole,LCGP,100,4,3,3,3748590181,2955949463,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4578080829815008,0.13936599995940924,136,146,146,98.29514866746653,0.947,259.0369157496996,30.176971973311478,
run_1005027538,borehole,MOOGP,100,4,3,4,1393094716,3644934348,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.826344916014932,0.012922416965011507,130,165,165,30.39014759329356,0.917,78.86571895901115,25.193087304449655,
run_1005027538,borehole,LCGP,100,4,3,4,1393094716,1563857653,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4042044170200825,0.12401429197052494,135,138,138,70.89745216964218,0.964,224.2504545862993,31.966543794833868,
run_1005027538,borehole,MOOGP,100,4,3,5,2791842574,4046863170,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.076043165987357,0.0156657500192523,188,221,221,44.81872304328238,0.954,114.68299338432095,24.401453977059656,
