n_train,rep,seed,method,output,beta_type,beta_value,true_beta
25,11,20510332,MOGP,3,intercept,0.32766306451353167,-0.1760633692862555
25,11,20510332,MOGP,3,trend,-11.858954622363958,-8.373014073965729
25,11,20510332,OLS,1,intercept,-4.131277371552207,-1.6549207883921637
25,11,20510332,OLS,1,trend,6.7403955761154455,4.216267592457131
25,11,20510332,OLS,2,intercept,1.093047430706493,1.672539605803907
25,11,20510332,OLS,2,trend,8.566035887899094,7.108133796228586
25,11,20510332,OLS,3,intercept,-0.019945021616529342,-0.1760633692862555
25,11,20510332,OLS,3,trend,-9.11642858871299,-8.373014073965729
25,12,20510333,MOOGP,1,intercept,-0.18803448174320292,-1.6549207883921637
25,12,20510333,MOOGP,1,trend,2.208407676033356,4.216267592457131
25,12,20510333,MOOGP,2,intercept,2.1821805375990255,1.672539605803907
25,12,20510333,MOOGP,2,trend,6.415941106403476,7.108133796228586
25,12,20510333,MOOGP,3,intercept,-0.19389023827980267,-0.1760633692862555
25,12,20510333,MOOGP,3,trend,-8.41573101855008,-8.373014073965729
25,12,20510333,MOGP,1,intercept,-0.7491390501798723,-1.6549207883921637
25,12,20510333,MOGP,1,trend,8.18374456225591,4.216267592457131
25,12,20510333,MOGP,2,intercept,1.972715460171779,1.672539605803907
25,12,20510333,MOGP,2,trend,8.569162724264205,7.108133796228586
25,12,20510333,MOGP,3,intercept,0.08003898212199534,-0.1760633692862555
25,12,20510333,MOGP,3,trend,-11.823090774187817,-8.373014073965729
25,12,20510333,OLS,1,intercept,-0.5109028760816651,-1.6549207883921637
25,12,20510333,OLS,1,trend,3.0935626493020294,4.216267592457131
25,12,20510333,OLS,2,intercept,2.0638560911934323,1.672539605803907
25,12,20510333,OLS,2,trend,6.71802520096318,7.108133796228586
25,12,20510333,OLS,3,intercept,-0.03222579386924623,-0.1760633692862555
25,12,20510333,OLS,3,trend,-8.848171200431358,-8.373014073965729
25,13,20510334,MOOGP,1,intercept,-4.432061058179437,-1.6549207883921637
25,13,20510334,MOOGP,1,trend,7.64463758346899,4.216267592457131
25,13,20510334,MOOGP,2,intercept,2.2965646952711234,1.672539605803907
25,13,20510334,MOOGP,2,trend,6.17140649952807,7.108133796228586
25,13,20510334,MOOGP,3,intercept,-0.08234176887008893,-0.1760633692862555
25,13,20510334,MOOGP,3,trend,-8.669315906982979,-8.373014073965729
25,13,20510334,MOGP,1,intercept,-4.365594234087473,-1.6549207883921637
25,13,20510334,MOGP,1,trend,10.49090308008264,4.216267592457131
25,13,20510334,MOGP,2,intercept,2.353226986869487,1.672539605803907
25,13,20510334,MOGP,2,trend,7.9628783477457095,7.108133796228586
25,13,20510334,MOGP,3,intercept,-0.13880774874375046,-0.1760633692862555
25,13,20510334,MOGP,3,trend,-11.503259595752677,-8.373014073965729
25,13,20510334,OLS,1,intercept,-4.74802447554587,-1.6549207883921637
25,13,20510334,OLS,1,trend,8.46289041537028,4.216267592457131
25,13,20510334,OLS,2,intercept,2.1112749491296077,1.672539605803907
25,13,20510334,OLS,2,trend,6.679866072503626,7.108133796228586
25,13,20510334,OLS,3,intercept,0.23761047544000766,-0.1760633692862555
25,13,20510334,OLS,3,trend,-9.507701655666276,-8.373014073965729
25,14,20510335,MOOGP,1,intercept,-2.8159277154419384,-1.6549207883921637
25,14,20510335,MOOGP,1,trend,6.5907558161126225,4.216267592457131
25,14,20510335,MOOGP,2,intercept,2.426212653160015,1.672539605803907
25,14,20510335,MOOGP,2,trend,6.027838031561779,7.108133796228586
25,14,20510335,MOOGP,3,intercept,-0.1379113353580097,-0.1760633692862555
25,14,20510335,MOOGP,3,trend,-8.573446243215948,-8.373014073965729
25,14,20510335,MOGP,1,intercept,-2.1273002765589135,-1.6549207883921637
25,14,20510335,MOGP,1,trend,9.033315384989146,4.216267592457131
25,14,20510335,MOGP,2,intercept,2.7136806635398423,1.672539605803907
25,14,20510335,MOGP,2,trend,7.101995980970565,7.108133796228586
25,14,20510335,MOGP,3,intercept,-0.5625106819575132,-0.1760633692862555
25,14,20510335,MOGP,3,trend,-10.062560988055148,-8.373014073965729
25,14,20510335,OLS,1,intercept,-3.043424841386067,-1.6549207883921637
25,14,20510335,OLS,1,trend,8.108930585122145,4.216267592457131
25,14,20510335,OLS,2,intercept,2.3157616848323825,1.672539605803907
25,14,20510335,OLS,2,trend,6.7008625540993,7.108133796228586
25,14,20510335,OLS,3,intercept,0.0011153661927346882,-0.1760633692862555
25,14,20510335,OLS,3,trend,-9.49334129462062,-8.373014073965729
25,15,20510336,MOOGP,1,intercept,-1.0598967006445912,-1.6549207883921637
25,15,20510336,MOOGP,1,trend,4.220096442217761,4.216267592457131
25,15,20510336,MOOGP,2,intercept,2.182043818690991,1.672539605803907
25,15,20510336,MOOGP,2,trend,5.851499691653193,7.108133796228586
25,15,20510336,MOOGP,3,intercept,-0.10897014866997257,-0.1760633692862555
25,15,20510336,MOOGP,3,trend,-8.672876499192991,-8.373014073965729
25,15,20510336,MOGP,1,intercept,-0.48476279717487225,-1.6549207883921637
25,15,20510336,MOGP,1,trend,6.121168536834554,4.216267592457131
25,15,20510336,MOGP,2,intercept,2.632500955259294,1.672539605803907
25,15,20510336,MOGP,2,trend,7.2947691938350445,7.108133796228586
25,15,20510336,MOGP,3,intercept,-0.6595771509106232,-0.1760633692862555
25,15,20510336,MOGP,3,trend,-10.457243344159542,-8.373014073965729
25,15,20510336,OLS,1,intercept,-1.387517275907282,-1.6549207883921637
25,15,20510336,OLS,1,trend,5.017414356518994,4.216267592457131
25,15,20510336,OLS,2,intercept,2.076610909575426,1.672539605803907
25,15,20510336,OLS,2,trend,6.3181662608539,7.108133796228586
25,15,20510336,OLS,3,intercept,0.05227080618246806,-0.1760633692862555
25,15,20510336,OLS,3,trend,-9.280568892086178,-8.373014073965729
25,16,20510337,MOOGP,1,intercept,0.6261426259884559,-1.6549207883921637
25,16,20510337,MOOGP,1,trend,2.437870215746449,4.216267592457131
25,16,20510337,MOOGP,2,intercept,1.5956397671587155,1.672539605803907
25,16,20510337,MOOGP,2,trend,6.904275501954203,7.108133796228586
25,16,20510337,MOOGP,3,intercept,-0.05466778375129877,-0.1760633692862555
25,16,20510337,MOOGP,3,trend,-8.66430477194448,-8.373014073965729
25,16,20510337,MOGP,1,intercept,-1.0739932984315863,-1.6549207883921637
25,16,20510337,MOGP,1,trend,9.631391314917522,4.216267592457131
25,16,20510337,MOGP,2,intercept,0.6685536370929057,1.672539605803907
25,16,20510337,MOGP,2,trend,10.826418441967599,7.108133796228586
25,16,20510337,MOGP,3,intercept,1.107814705787236,-0.1760633692862555
25,16,20510337,MOGP,3,trend,-13.582094925684354,-8.373014073965729
25,16,20510337,OLS,1,intercept,0.3038799618891754,-1.6549207883921637
25,16,20510337,OLS,1,trend,3.264226235824355,4.216267592457131
25,16,20510337,OLS,2,intercept,1.4196256113022034,1.672539605803907
25,16,20510337,OLS,2,trend,7.355616644424247,7.108133796228586
25,16,20510337,OLS,3,intercept,0.16595928027967863,-0.1760633692862555
25,16,20510337,OLS,3,trend,-9.23004334424037,-8.373014073965729
25,17,20510338,MOOGP,1,intercept,-2.451503832642169,-1.6549207883921637
25,17,20510338,MOOGP,1,trend,4.979745437912658,4.216267592457131
25,17,20510338,MOOGP,2,intercept,0.9478056244583848,1.672539605803907
25,17,20510338,MOOGP,2,trend,7.840192775562422,7.108133796228586
25,17,20510338,MOOGP,3,intercept,0.09066787576074198,-0.1760633692862555
25,17,20510338,MOOGP,3,trend,-8.721113430884595,-8.373014073965729
25,17,20510338,MOGP,1,intercept,-3.455788860900008,-1.6549207883921637
25,17,20510338,MOGP,1,trend,10.274328646523704,4.216267592457131
25,17,20510338,MOGP,2,intercept,0.4722789625755315,1.672539605803907
25,17,20510338,MOGP,2,trend,10.40892751645208,7.108133796228586
25,17,20510338,MOGP,3,intercept,0.7796319989013245,-0.1760633692862555
25,17,20510338,MOGP,3,trend,-12.391737689881117,-8.373014073965729
25,17,20510338,OLS,1,intercept,-2.2062342710838245,-1.6549207883921637
25,17,20510338,OLS,1,trend,4.193910200139575,4.216267592457131
25,17,20510338,OLS,2,intercept,1.087265468328911,1.672539605803907
25,17,20510338,OLS,2,trend,7.42873899753851,7.108133796228586
25,17,20510338,OLS,3,intercept,-0.09578202792823642,-0.1760633692862555
25,17,20510338,OLS,3,trend,-8.146921886779474,-8.373014073965729
25,18,20510339,MOOGP,1,intercept,-2.229129897334277,-1.6549207883921637
25,18,20510339,MOOGP,1,trend,6.415787557072932,4.216267592457131
25,18,20510339,MOOGP,2,intercept,1.4618404655346033,1.672539605803907
25,18,20510339,MOOGP,2,trend,7.701480588761047,7.108133796228586
25,18,20510339,MOOGP,3,intercept,-0.038972815426514984,-0.1760633692862555
25,18,20510339,MOOGP,3,trend,-8.474759377727628,-8.373014073965729
25,18,20510339,MOGP,1,intercept,-2.7916813862228347,-1.6549207883921637
25,18,20510339,MOGP,1,trend,9.985422669488242,4.216267592457131
25,18,20510339,MOGP,2,intercept,1.169619687515496,1.672539605803907
25,18,20510339,MOGP,2,trend,9.558034832450753,7.108133796228586
25,18,20510339,MOGP,3,intercept,0.37011217662589146,-0.1760633692862555
25,18,20510339,MOGP,3,trend,-11.051697042238512,-8.373014073965729
25,18,20510339,OLS,1,intercept,-2.1783983118836616,-1.6549207883921637
25,18,20510339,OLS,1,trend,6.318314523186086,4.216267592457131
25,18,20510339,OLS,2,intercept,1.488649898257868,1.672539605803907
25,18,20510339,OLS,2,trend,7.6508408885108015,7.108133796228586
25,18,20510339,OLS,3,intercept,-0.07224863288451815,-0.1760633692862555
25,18,20510339,OLS,3,trend,-8.403440894716576,-8.373014073965729
25,19,20510340,MOOGP,1,intercept,-2.588317448553425,-1.6549207883921637
25,19,20510340,MOOGP,1,trend,5.0243215614932035,4.216267592457131
25,19,20510340,MOOGP,2,intercept,1.5495955399789283,1.672539605803907
25,19,20510340,MOOGP,2,trend,7.502165355633716,7.108133796228586
25,19,20510340,MOOGP,3,intercept,-0.14392987810855473,-0.1760633692862555
25,19,20510340,MOOGP,3,trend,-8.427775962383116,-8.373014073965729
25,19,20510340,MOGP,1,intercept,-3.064173095501858,-1.6549207883921637
25,19,20510340,MOGP,1,trend,10.084881180252664,4.216267592457131
25,19,20510340,MOGP,2,intercept,1.283723775205769,1.672539605803907
25,19,20510340,MOGP,2,trend,10.327731819865782,7.108133796228586
25,19,20510340,MOGP,3,intercept,0.21544487949532076,-0.1760633692862555
25,19,20510340,MOGP,3,trend,-12.247927316768713,-8.373014073965729
25,19,20510340,OLS,1,intercept,-2.678442315942001,-1.6549207883921637
25,19,20510340,OLS,1,trend,5.30760212521576,4.216267592457131
25,19,20510340,OLS,2,intercept,1.4990592847099293,1.672539605803907
25,19,20510340,OLS,2,trend,7.6610109134432705,7.108133796228586
25,19,20510340,OLS,3,intercept,-0.07558719952517869,-0.1760633692862555
25,19,20510340,OLS,3,trend,-8.642590646003375,-8.373014073965729
25,20,20510341,MOOGP,1,intercept,-4.028355285096237,-1.6549207883921637
25,20,20510341,MOOGP,1,trend,8.89773521279016,4.216267592457131
25,20,20510341,MOOGP,2,intercept,1.5615762392533816,1.672539605803907
25,20,20510341,MOOGP,2,trend,7.419742503826449,7.108133796228586
25,20,20510341,MOOGP,3,intercept,-0.11025926192180346,-0.1760633692862555
25,20,20510341,MOOGP,3,trend,-8.574730422539542,-8.373014073965729
25,20,20510341,MOGP,1,intercept,-3.8029985022257122,-1.6549207883921637
25,20,20510341,MOGP,1,trend,12.201877880513111,4.216267592457131
25,20,20510341,MOGP,2,intercept,1.634418005665653,1.672539605803907
25,20,20510341,MOGP,2,trend,8.71074683874896,7.108133796228586
25,20,20510341,MOGP,3,intercept,-0.29557640832233023,-0.1760633692862555
25,20,20510341,MOGP,3,trend,-10.451696789315847,-8.373014073965729
25,20,20510341,OLS,1,intercept,-4.3846963263698315,-1.6549207883921637
25,20,20510341,OLS,1,trend,9.434159526054804,4.216267592457131
25,20,20510341,OLS,2,intercept,1.4616303154334538,1.672539605803907
25,20,20510341,OLS,2,trend,7.6138600450809495,7.108133796228586
25,20,20510341,OLS,3,intercept,0.004140885363339372,-0.1760633692862555
25,20,20510341,OLS,3,trend,-8.701455811030554,-8.373014073965729
25,21,20510342,MOOGP,1,intercept,2.3615911546329698,-1.6549207883921637
25,21,20510342,MOOGP,1,trend,-1.7087402154463176,4.216267592457131
25,21,20510342,MOOGP,2,intercept,1.3318283552239323,1.672539605803907
25,21,20510342,MOOGP,2,trend,7.33641902373057,7.108133796228586
25,21,20510342,MOOGP,3,intercept,-0.32984871389158066,-0.1760633692862555
